order_id,region,category,sales_amount,units_sold,profit,is_discounted,order_date
1001,Bengaluru,Hardware,45000.50,12,6500.00,false,2025-01-15
1002,Mumbai,Software,125000.00,5,35000.00,true,2025-01-16
1003,Delhi NCR,Cloud SaaS,89000.00,20,22000.00,false,2025-01-17
1004,Hyderabad,Hardware,62000.00,18,9400.00,true,2025-01-18
1005,Chennai,Services,34000.00,8,7100.00,false,2025-01-19
1006,Bengaluru,Software,195000.00,10,48000.00,false,2025-01-20
1007,Mumbai,Cloud SaaS,142000.00,25,38000.00,true,2025-01-21
1008,Delhi NCR,Services,48000.00,15,11200.00,false,2025-01-22
1009,Hyderabad,Hardware,78000.00,22,14500.00,true,2025-01-23
1010,Chennai,Software,110000.00,7,29000.00,false,2025-01-24
1011,Bengaluru,Cloud SaaS,215000.00,30,62000.00,false,2025-01-25
1012,Mumbai,Hardware,94000.00,16,18000.00,true,2025-01-26
1013,Delhi NCR,Software,165000.00,9,41000.00,false,2025-01-27
1014,Hyderabad,Services,53000.00,11,12800.00,false,2025-01-28
1015,Chennai,Cloud SaaS,138000.00,24,36000.00,true,2025-01-29
